Ааронов	aaron
археологический	archaeological
археология	archaeology
архив	archives
архивариус	archivist
архивный	adjective of архив
архиепископ	archbishop
архиерей	bishop
архилгун	archliar
архимандрит	archimandrite
архипелаг	archipelago
архитектоника	architectonics
архитектонический	architectonic
архитектор	architect
архитектура	architecture
архитектурный	architectural
аршин	arshin
арык	aryk
арьергард	rearguard
арьергардный	adjective of арьергард
ас	ace,past master
асбест	asbestos
асбестовый	asbestos,asbestine
асептика	asepsis
асептический	aseptic
асимметрический	asymmetric
асимметричный	asymmetric
асимметрия	asymmetry
аскарида	ascarid
аскет	ascetic
аскетизм	asceticism
аскетический	ascetic
аспект	aspect
аспид	asp,viper,slate
аспирант	postgraduate student
аспирантка	graduate
аспирантура	graduate study,graduate course,graduate students
аспирин	aspirin
ассамблея	assembly
ассенизация	sewage disposal
ассигнация	banknote
ассигнование	assignation,appropriation,allocation,assignment,grant
ассигновать	assign,allocate,appropriate,ear-mark
ассимилировать	assimilate
ассимилироваться	assimilate
ассимилятивный	assimilative
ассимиляция	assimilation
ассириец	assyrian
ассирийка	assyrian
ассирийский	assyrian
ассистент	assistant,lecture
ассистентка	assistant,lecture
ассистировать	assist
ассонанс	assonance
ассорти	assortment
ассортимент	assortment,set
ассоциативный	associative
ассоциация	association
ассоциировать	associate
ассоциироваться	associate
астенический	asthenic
астения	asthenia
астероид	asteroid
астигматизм	astigmatism
астигматический	astigmatic
астма	asthma
астматик	asthmatic
астматический	asthmatic
астра	aster
астральный	astral
астробиология	astrobiology
астроботаника	astrobotany
астрогеология	astrogeology
астролог	astrologer
астрология	astrology
астролябия	astrolabe
астрометрический	astrometric
астрометрия	astrometry
астронавигация	astronavigation
астронавт	astronaut,spaceman
астронавтика	astronautics
астроном	astronomer
астрономический	astronomic
астрономия	astronomy
астрофизика	astrophysics
астрофизический	astrophysical
астрохимия	astrochemistry
асфальт	asphalt
асфальтировать	asphalt
асфальтовый	adjective of асфальт
асфальтоукладчик	asphalt paver
асфиксия	asphyxia
атавизм	atavism
атавистический	atavistic
атака	attack,assault
атаковать	attack,charge,assault
атакующий	attacker
атаман	ataman,leader,chief
атеизм	atheism
атеист	atheist
атеистический	atheistic
ателье	atelier,workshop,studio,dressmaking and tailoring establishment
атеросклероз	atherosclerosis
атлантический	atlantic
атлас	atlas,satin
атласистый	satiny
атласный	adjective of атлас
атлет	athlete,hercules
атлетизм	athletic build,athleticism
атлетика	athletics
атлетический	athletic
атлетичный	athletic
атлетка	female athlete
атмосфера	atmosphere
атмосферный	atmospheric
атолл	atoll
атом	atom
атомизм	atomism
атомистика	atomism
атомистический	atomistic
атомник	atomic scientist
атомность	atomicity
атомный	atomic
атомоход	atomic-powered vessel
атомщик	atom-monger,atom-bomb maniac
атонический	atonic
атония	atony
атрибут	attribute
атрибутивный	attributive
